company_name,price,change,perc_change,volume
Critical Metals Corp.,29.97,6.69,28.74,83.3M
Navitas Semiconductor Corporation,12.57,2.6,26.08,156.0M
Telefonaktiebolaget LM Ericsson (publ),9.85,1.68,20.56,62.4M
Lithium Americas Corp.,10.07,1.64,19.45,131.2M
"Ouster, Inc.",36.16,5.09,16.38,4.6M
"Fluence Energy, Inc.",18.45,2.56,16.11,14.9M
"DigitalBridge Group, Inc.",13.48,1.83,15.67,13.7M
Almonty Industries Inc.,9.96,1.32,15.28,8.8M
Orla Mining Ltd.,13.12,1.63,14.19,11.4M
Polaris Inc.,69.88,8.52,13.89,4.0M
"Albertsons Companies, Inc.",19.29,2.34,13.79,22.2M
"PureCycle Technologies, Inc.",14.78,1.61,12.22,6.6M
DLocal Limited,15.68,1.48,10.42,5.3M
"Dyne Therapeutics, Inc.",15.45,1.42,10.12,2.2M
TeraWulf Inc.,15.46,1.46,10.43,75.8M
"CleanSpark, Inc.",21.98,1.94,9.68,50.1M
"MARA Holdings, Inc.",22.24,2.0,9.88,70.8M
Ubiquiti Inc.,753.34,66.49,9.68,0.32637M
Energy Fuels Inc.,26.23,2.46,10.35,59.2M
"Power Integrations, Inc.",47.03,3.88,8.99,7.5M
Bitfarms Ltd.,5.89,0.5,9.28,206.9M
"SoundHound AI, Inc.",20.86,1.72,8.99,71.0M
Ermenegildo Zegna N.V.,9.53,0.77,8.85,1.8M
"Voyager Technologies, Inc.",35.30,2.56,7.82,1.6M
IREN Limited,69.56,5.42,8.45,51.1M
"Joby Aviation, Inc.",18.12,1.35,8.05,104.9M
Driven Brands Holdings Inc.,16.29,1.16,7.67,1.8M
UL Solutions Inc.,77.60,5.24,7.24,0.663338M
Wells Fargo & Company,84.57,5.65,7.17,31.8M
Korea Electric Power Corporation,13.56,0.86,6.73,0.511303M
Pagaya Technologies Ltd.,29.86,1.89,6.76,6.4M
"Installed Building Products, Inc.",256.46,16.14,6.72,0.416476M
Alvotech,8.50,0.53,6.65,0.618887M
Dave Inc.,216.25,13.82,6.83,0.50775M
American Superconductor Corporation,65.54,3.97,6.45,1.9M
"Freshpet, Inc.",51.58,3.18,6.57,1.8M
"Viasat, Inc.",36.92,2.22,6.4,2.3M
"Recursion Pharmaceuticals, Inc.",5.89,0.36,6.51,102.9M
NBT Bancorp Inc.,42.18,2.53,6.38,0.282516M
Herc Holdings Inc.,128.02,7.33,6.07,0.382522M
"Green Brick Partners, Inc.",66.65,3.81,6.06,0.229834M
"Builders FirstSource, Inc.",128.15,7.44,6.17,1.9M
D-Wave Quantum Inc.,43.03,2.41,5.93,70.3M
"Surgery Partners, Inc.",20.93,1.14,5.76,1.1M
"Euronet Worldwide, Inc.",87.71,4.68,5.64,1.1M
Darling Ingredients Inc.,31.55,1.64,5.47,4.8M
KB Home,61.28,3.25,5.6,1.8M
"Toast, Inc.",37.79,1.95,5.45,9.4M
"QXO, Inc.",19.52,1.02,5.54,8.1M
Generac Holdings Inc.,183.90,9.78,5.61,1.2M
"Sonic Automotive, Inc.",75.86,4.0,5.56,0.150949M
Ally Financial Inc.,39.92,2.06,5.43,4.6M
"Mohawk Industries, Inc.",125.69,6.44,5.4,0.718893M
"YETI Holdings, Inc.",33.98,1.78,5.53,1.7M
"The Bancorp, Inc.",80.34,3.98,5.21,0.613213M
"HCI Group, Inc.",197.62,9.53,5.07,0.169123M
Opendoor Technologies Inc.,7.64,0.37,5.09,114.2M
"Bread Financial Holdings, Inc.",59.24,2.82,5.0,0.915221M
Walmart Inc.,107.21,5.09,4.98,27.3M
Kadant Inc.,292.96,14.28,5.12,0.175704M
Telix Pharmaceuticals Limited,10.04,0.5,5.24,0.123964M
Sportradar Group AG,26.43,1.24,4.92,3.3M
"Rush Street Interactive, Inc.",19.83,0.93,4.89,1.9M
"Chime Financial, Inc.",20.36,0.95,4.89,2.9M
Southwest Airlines Co.,33.41,1.51,4.73,8.1M
Atlassian Corporation,156.37,6.98,4.67,3.8M
"OneMain Holdings, Inc.",55.79,2.53,4.75,1.0M
"Core & Main, Inc.",51.78,2.28,4.61,2.2M
"Peloton Interactive, Inc.",7.71,0.34,4.61,10.8M
Embraer S.A.,60.51,2.72,4.71,1.7M
Kemper Corporation,50.36,2.25,4.68,0.980018M
"Enphase Energy, Inc.",36.44,1.62,4.65,6.7M
"M/I Homes, Inc.",135.51,5.79,4.46,0.154816M
Caterpillar Inc.,527.56,22.8,4.51,4.8M
KKR & Co. Inc.,126.00,5.56,4.62,5.4M
"Advanced Drainage Systems, Inc.",141.53,6.17,4.56,0.462391M
James Hardie Industries plc,22.42,0.98,4.55,4.4M
"Axos Financial, Inc.",84.52,3.65,4.51,0.221716M
Ivanhoe Electric Inc.,16.66,0.69,4.32,2.7M
"Savers Value Village, Inc.",13.33,0.56,4.39,1.0M
Symbotic Inc.,73.64,3.13,4.44,2.9M
"Cinemark Holdings, Inc.",26.19,1.1,4.38,3.3M
Edison International,56.10,2.45,4.57,2.8M
"AST SpaceMobile, Inc.",94.50,4.0,4.42,17.2M
HP Inc.,28.53,1.18,4.33,18.9M
"Home Bancshares, Inc. (Conway, AR)",28.33,1.18,4.35,1.1M
"Copa Holdings, S.A.",128.18,5.4,4.4,0.494142M
"Toll Brothers, Inc.",133.31,5.64,4.42,1.2M
LATAM Airlines Group S.A.,43.99,1.91,4.54,0.886639M
NexGen Energy Ltd.,9.40,0.42,4.68,17.9M
