company_name,price,change,perc_change,volume
Critical Metals Corp.,23.28,8.3,55.41,61.9M
United States Antimony Corporation,16.71,4.5,36.82,41.8M
Bitfarms Ltd.,5.39,1.19,28.33,146.6M
Bloom Energy Corporation,109.94,23.07,26.56,27.1M
"Rigetti Computing, Inc.",54.91,10.99,25.02,163.3M
"Power Integrations, Inc.",43.15,8.51,24.57,7.0M
"Eos Energy Enterprises, Inc.",17.05,3.23,23.37,41.2M
D-Wave Quantum Inc.,40.56,7.54,22.83,84.8M
"BigBear.ai Holdings, Inc.",8.81,1.59,22.01,205.4M
MP Materials Corp.,95.06,16.72,21.33,48.5M
"Fluence Energy, Inc.",15.89,2.8,21.39,10.1M
Navitas Semiconductor Corporation,9.97,1.74,21.14,123.2M
"Forward Industries, Inc.",24.58,4.19,20.55,0.508307M
TMC the metals company Inc.,10.69,1.8,20.32,27.7M
Cipher Mining Inc.,20.34,3.37,19.86,57.3M
BTQ Technologies Corp.,12.08,1.96,19.37,9.0M
NANO Nuclear Energy Inc.,54.44,8.61,18.79,7.4M
"USA Rare Earth, Inc.",38.68,6.07,18.61,48.2M
"Ramaco Resources, Inc.",21.67,3.35,18.29,0.218394M
Ondas Holdings Inc.,10.81,1.59,17.25,51.2M
Energy Fuels Inc.,23.77,3.43,16.89,41.9M
"IonQ, Inc.",82.11,11.46,16.22,38.6M
Oklo Inc.,171.0,23.84,16.2,25.6M
QuantumScape Corporation,16.99,2.29,15.59,62.2M
"Solaris Energy Infrastructure, Inc.",51.97,6.99,15.55,4.7M
Sandisk Corporation,134.61,17.7,15.14,8.3M
"Argan, Inc.",294.96,38.81,15.15,0.423808M
Bitdeer Technologies Group,20.45,2.67,15.02,9.5M
NuScale Power Corporation,45.02,5.78,14.73,28.0M
Quantum Computing Inc.,21.46,2.44,12.86,43.0M
Hut 8 Corp.,49.11,5.54,12.72,6.9M
Lithium Americas Corp.,8.44,0.95,12.69,85.7M
Sunrun Inc.,21.17,2.37,12.61,8.7M
Skeena Resources Limited,20.55,2.25,12.27,1.1M
Yelp Inc.,33.83,3.56,11.76,1.6M
"Ramaco Resources, Inc.",52.42,5.22,11.06,3.4M
"Ambarella, Inc.",80.95,8.07,11.07,0.932941M
Arm Holdings plc,171.94,17.07,11.03,10.4M
Grindr Inc.,13.26,1.3,10.87,9.6M
Endeavour Silver Corp.,8.49,0.84,10.9,14.6M
